,Sub Saharan Africa,North Africa and West Asia,Europe,Central and Southern Asia,East and South-East Asia,Oceania,North America,Latin America
Wheat and products,2.3,1.5,1.25,1.7,1.5,1.2,1.2,1.5
Maize and products,3.5,3,1.55,3.5,3,1.2,1.2,3
Rice (Milled Equivalent),1.5,1.2,1.2,1.5,1,1.2,1.2,1.2
Cereals - Excluding Beer,2.3,1.5,1.25,1.7,1.5,1.2,1.2,1.5
Soyabeans,1.5,1.5,1.35,1.5,1.2,1.2,1.2,1.5
Rape and Mustardseed,2.3,2.3,1.9,2.3,2.3,1.9,1.9,2.3
Palm Oil,1.9,1.9,1.9,1.9,1.5,1.9,1.9,1.9
Sunflower seed,2.3,2.3,1.9,2.3,2.3,1.9,1.9,2.3
Sugar cane,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
Oilcrops,2.3,2.3,1.9,2.3,2.3,1.9,1.9,2.3
Other,1.869230769,1.530769231,1.288461538,1.638461538,1.492857143,1.346153846,1.285714286,1.557142857
Pulses,0.4,0.4,1,0.4,0.4,1,1,0.4
Starchy Roots,1,1,1,1,1,1,1,1
Sugar Crops,0.7,0.7,0.5,0.7,0.7,0.7,0.5,0.7
Fruits - Excluding Wine,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Vegetables,1.869230769,1.530769231,1.288461538,1.638461538,1.492857143,1.346153846,1.285714286,1.557142857
Cassava and products,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Nuts and products,1.5,1.5,1.2,1.5,1.2,1.2,1.2,1.5
Potatoes and products,1,1,1,1,1,1,1,1
Vegetable Oils,1.869230769,1.530769231,1.288461538,1.638461538,1.492857143,1.346153846,1.285714286,1.557142857
Alcohol,2.084615385,1.515384616,1.269230769,1.669230769,1.496428572,1.273076923,1.242857143,1.528571429
Spices,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11
Luxuries (excluding Alcohol),0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
